,Probe_ID,Sample_ID,Well 1,Well 2,Well 3,Well 4,Well 5,Well 6,Well 7,Well 8,Well 9,Well 10,Well 11,Well 12,Well 13,Well 14,Well 15,Well 16,Well 17,Well 18,Well 19,Well 20,Well 21
1,0,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,Marker,1.731,2.321,3.524,2.65,2.381,4.964,17.36,1.575,2.12,3.308,3.373,2.421,1.749,2.298,2.05,3.984,7.735,10.685,4.983,9.578,10.263
4,100,Sample1,0.0,0.0,0.0,0.0,0.0,20.653,43.713,0.0,8.347,14.727,18.16,9.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,101,Sample2,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.547,0.0,0.0,11.127
14,102,Sample3,0.0,1.82,10.083,7.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,2.986,9.931,36.847,51.507,16.736,56.674,88.09
7,103,Sample4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,106,Sample7,0.0,0.0,0.0,1.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.993,0.0,0.0,7.632
6,107,Sample8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,110,Sample11,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,111,Sample12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,113,Sample14,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,114,Sample15,0.0,0.0,0.0,0.0,0.0,21.24,42.124,0.0,6.94,13.933,18.06,8.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,200,Sample16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,1.02,0.0,0.0,0.0
41,201,Sample17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,202,Sample18,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.157,0.0,0.0,30.014
46,204,Sample20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.382,3.062,2.993,1.0,0.0,2.0,1.24,0.0
23,205,Sample21,0.0,0.0,0.0,0.0,3.0,3.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,206,Sample22,0.0,0.0,0.0,0.0,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,210,Sample26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014,3.035,3.0,1.007,0.0,1.986,1.0,0.0
20,212,Sample28,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.993,0.0,1.0,9.993
42,213,Sample29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,214,Sample30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,300,Sample31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,302,Sample33,0.0,0.0,0.0,0.0,0.0,18.51,40.33,0.0,1.993,12.423,23.276,3.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
